Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
3M COMPANY (XNYS:MMM),MMM,3M COMPANY,"3M Center, Bldg. 220-13E-26A, SAINT PAUL, MN, 55144-1000 US",92000,Consumer Goods Conglomerates,1929,New York Stock Exchange,USD,106.37,106.85,-0.48,-0.45%,106.52,106.81,105.34,133.91,92.38,551992400,2684253.00,3275467,0.97,58715431588,10.81,Stock,9/6/23 23:59,1997-06-23,5777000000,3655000000,4532000000,9523000000,-0.11
ABBOTT LABORATORIES (XNYS:ABT),ABT,ABBOTT LABORATORIES,"100 Abbott Park Rd, ABBOTT PARK, IL, 60064-3500 US",115000,Healthcare Equipment & Supplies,1900,New York Stock Exchange,USD,101.56,100.88,0.68,0.67%,101.01,102.06,99.77,115.83,93.25,1735358000,5094425.00,4127920,0.68,176242958480,34.30,Stock,9/6/23 23:50,1997-06-22,6933000000,9882000000,6218000000,15489000000,-0.08
ABERCROMBIE & FITCH CO. (XNYS:ANF),ANF,ABERCROMBIE & FITCH CO.,"6301 Fitch Path, NEW ALBANY, OH, 43054 US",7200,Specialty Retailers,1996,New York Stock Exchange,USD,54.98,54.85,0.13,0.24%,55.07,55.44,54.01,55.44,14.43,50357070,1389699.00,2244831,1.47,2768631708,26.76,Stock,9/6/23 23:29,1997-06-21,2816000,517602000,104506000,902200000,1.39
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),ACN,ACCENTURE PUBLIC LIMITED COMPANY,"1 Grand Canal Square, Grand Canal Harbour, Dublin 2, DUBLIN, DUBLIN IE",721000,Software & IT Services,2009,New York Stock Exchange,USD,326.30,326.16,0.14,0.04%,324.25,327.74,323.71,328.88,242.80,664311700,1247868.00,1575123,1.21,216764907710,29.06,Stock,9/6/23 23:35,1997-06-20,6877169000,7889833000,11776775000,17523496000,0.22
Acusensus Ltd (XASX:ACE),ACE,Acusensus Ltd,"31 Queen Street, Level 6, MELBOURNE, VICTORIA, 3000 AU",127,Communications & Networking,2018,Australian Securities Exchange,AUD,0.84,0.80,0.04,5.00%,0.82,0.84,0.82,0.90,0.60,126150000,3009.00,58070,-0.87,100920000,NA,Stock,9/7/23 0:08,1997-06-19,NA,NA,NA,NA,No data
ADOBE INC. (XNAS:ADBE),ADBE,ADOBE INC.,"345 PARK AVE, SAN JOSE, CA, 95110-2704 US",29239,Software & IT Services,1997,Nasdaq Stock Market,USD,561.94,564.88,-2.94,-0.52%,560.45,564.06,555.85,569.98,274.73,455800000,2299883.00,2231980,1.33,256132252000,53.94,Stock,9/6/23 23:57,1997-06-18,4756000000,3579000000,2065000000,8128000000,0.68
"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",AMD,"ADVANCED MICRO DEVICES, INC.","2485 Augustine Drive, SANTA CLARA, CA, 95054 US",25000,Semiconductors & Semiconductor Equipment,1969,Nasdaq Stock Market,USD,109.28,110.78,-1.50,-1.35%,110.56,111.33,108.22,132.83,54.57,1615671000,47736701.00,67783537,1.80,178984100000,582.19,Stock,9/6/23 23:59,1997-06-17,1320000000,4835000000,4126000000,6369000000,0.71
Aegon NV (XWBO:AGN),AGN,Aegon NV,"AEGONplein 50, 'S-GRAVENHAGE, ZUID-HOLLAND, 2591 TV NL",18500,Insurance,NA,Wiener Boerse,EUR,4.78,4.82,-0.03,-0.71%,4.80,4.80,4.78,NA,NA,2029727000,550.00,6904910,1.39,9665560000,0.00,Stock,8/23/23 15:50,1997-06-16,NA,NA,NA,NA,No data
AFENTRA PLC (XLON:AET),AET,AFENTRA PLC,"High Holborn House, 52 54 High Holborn, LONDON, UNITED KINGDOM-NA, WC1V 6RL GB",11,Oil & Gas,1983,London Stock Exchange,GBp,24.35,24.35,0.00,0.00%,NA,NA,NA,32.00,18.85,220053500,131023.00,NA,0.70,53345170,NA,Stock,7/18/23 15:45,1997-06-15,NA,NA,NA,NA,No data
AFLAC INCORPORATED (XNYS:AFL),AFL,AFLAC INCORPORATED,"1932 Wynnton Rd, COLUMBUS, GA, 31999-0001 US",12882,Insurance,1973,New York Stock Exchange,USD,74.23,74.20,0.03,0.04%,74.03,74.44,73.62,78.43,56.03,594062500,2240851.00,2252314,0.93,44097259375,9.94,Stock,9/6/23 23:00,1997-06-14,4201000000,3943000000,NA,837000000,0.03
"AGILENT TECHNOLOGIES, INC. (XNYS:A)",A,"AGILENT TECHNOLOGIES, INC.","5301 Stevens Creek Blvd, SANTA CLARA, CA, 95051 US",18300,Healthcare Equipment & Supplies,1999,New York Stock Exchange,USD,117.94,118.73,-0.79,-0.67%,118.35,118.66,116.53,160.27,113.28,292587300,1668904.00,1759538,1.03,34507746162,31.10,Stock,9/6/23 23:00,1997-06-13,1254000000,1053000000,1405000000,1861000000,-0.21
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",APD,"AIR PRODUCTS AND CHEMICALS, INC.","1940 Air Products Blvd., ALLENTOWN, PA, 18106-5500 US",19710,Chemicals,1961,New York Stock Exchange,USD,293.35,292.70,0.65,0.22%,292.62,294.15,291.14,328.56,224.75,222148800,422856.00,719197,0.88,65167350480,29.92,Stock,9/6/23 23:00,1997-06-12,2256100000,2711000000,1947500000,3465800000,-0.05
"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)",AKAM,"AKAMAI TECHNOLOGIES, INC.","145 Broadway, CAMBRIDGE, MA, 02142 US",9800,Software & IT Services,1998,Nasdaq Stock Market,USD,103.80,104.55,-0.75,-0.72%,104.51,105.13,103.58,107.47,70.65,151713300,1197870.00,1811494,0.76,15747840540,32.03,Stock,9/6/23 23:52,1997-06-11,523672000,542337000,679206000,818868000,0.24
ALCOA CORPORATION (XNYS:AA),AA,ALCOA CORPORATION,"201 Isabella St Ste 500, PITTSBURGH, PA, 15212-5873 US",13100,Metals & Mining,2016,New York Stock Exchange,USD,30.20,30.29,-0.09,-0.30%,30.04,30.65,29.81,57.61,27.76,178449600,4090894.00,5846325,2.46,5389177920,7.83,Stock,9/6/23 23:58,1997-06-10,-123000000,1363000000,778000000,3004000000,-0.33
ALPHABET INC. (XNAS:GOOG),GOOG,ALPHABET INC.,"1600 Amphitheatre Pkwy, MOUNTAIN VIEW, CA, 94043-1351 US",181798,Software & IT Services,2015,Nasdaq Stock Market,USD,135.37,136.71,-1.34,-0.98%,137.02,137.48,134.69,138.58,83.45,12609000000,15814327.00,19922015,1.06,1717377000000,28.96,Stock,9/6/23 23:58,1997-06-9,59972000000,21879000000,40258000000,69300000000,0.54
ALTAIR ENGINEERING INC. (XNAS:ALTR),ALTR,ALTAIR ENGINEERING INC.,"1820 E Big Beaver Rd, TROY, MI, 48083-2031 US",3000,Software & IT Services,2017,Nasdaq Stock Market,USD,65.97,65.91,0.06,0.09%,65.91,66.54,65.69,78.49,43.17,81237360,149732.00,265857,1.46,5359228639,121.17,Stock,9/6/23 20:08,1997-06-8,-43429000,316146000,176579000,232738000,0.45
"Altria Group, Inc. (XNYS:MO)",MO,"Altria Group, Inc.","6601 W Broad St, RICHMOND, VA, 23230 US",6300,Food & Tobacco,2009,New York Stock Exchange,USD,43.53,44.09,-0.56,-1.27%,44.00,44.03,43.45,48.99,40.35,1774610000,10108374.00,7348166,0.63,77248773300,11.58,Stock,9/6/23 23:59,1997-06-7,5764000000,4030000000,1721000000,8616000000,-0.04
"AMAZON.COM, INC. (XNAS:AMZN)",AMZN,"AMAZON.COM, INC.","410 Terry Ave N, SEATTLE, WA, 98109 US",1461000,Diversified Retail,1996,Nasdaq Stock Market,USD,135.36,137.27,-1.91,-1.39%,136.32,137.45,134.61,143.63,81.43,10317750000,41785507.00,51805011,1.24,1396610640000,109.14,Stock,9/6/23 23:59,1997-06-6,-2722000000,53888000000,42002000000,155393000000,0.63
AMEREN CORPORATION (XNYS:AEE),AEE,AMEREN CORPORATION,"1901 Chouteau Ave, ST. LOUIS, MO, 63103-3003 US",9244,Multiline Utilities,1995,New York Stock Exchange,USD,77.67,77.28,0.39,0.50%,77.48,77.71,77.05,96.36,73.28,262749500,1205966.00,1189151,0.46,20407753665,18.09,Stock,9/6/23 23:00,1997-06-5,1074000000,10000000,600000000,3366000000,-0.13
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.","1 Riverside Plz, COLUMBUS, OH, 43215-2355 US",16974,Electrical Utilities & IPPs,1925,Nasdaq Stock Market,USD,76.38,76.00,0.38,0.50%,75.87,76.58,75.76,105.60,75.47,515176000,2752343.00,2885103,0.46,39349142880,19.73,Stock,9/6/23 23:59,1997-06-4,2307200000,509400000,2295400000,13266300000,-0.20
AMERICAN EXPRESS COMPANY (XNYS:AXP),AXP,AMERICAN EXPRESS COMPANY,"200 Vesey Street, NEW YORK, NY, 10285 US",77300,Banking Services,1965,New York Stock Exchange,USD,158.00,160.00,-2.00,-1.25%,159.07,159.84,156.86,182.15,130.65,736458900,2949366.00,2407786,1.18,116360506200,16.28,Stock,9/6/23 23:59,1997-06-3,7514000000,28097000000,57384000000,125371000000,0.08
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",AIG,"AMERICAN INTERNATIONAL GROUP, INC.","175 Water Street, NEW YORK, NY, 10038 US",26200,Insurance,1967,New York Stock Exchange,USD,59.19,58.60,0.59,1.01%,58.49,59.39,58.32,64.88,45.66,711899600,2787450.00,2684821,1.15,42137337324,9.90,Stock,9/6/23 23:00,1997-06-2,10276000000,NA,NA,3243000000,-0.07
AMERICAN TOWER CORPORATION (XNYS:AMT),AMT,AMERICAN TOWER CORPORATION,"116 Huntington Ave, BOSTON, MA, 02116-5749 US",6391,Residential & Commercial REIT,1996,New York Stock Exchange,USD,178.01,180.42,-2.41,-1.34%,180.19,180.19,176.14,265.56,172.55,466155500,2313336.00,1705580,0.58,82980340555,87.23,Stock,9/6/23 23:53,1997-06-1,1765800000,2028400000,758300000,8311900000,-0.15
"Cencora, Inc. (XNYS:COR)",COR,"Cencora, Inc.","1 West First Avenue, CONSHOHOCKEN, PA, 19428 US",39000,Healthcare Equipment & Supplies,2001,New York Stock Exchange,USD,174.67,172.87,1.80,1.04%,172.92,175.19,171.65,194.79,135.14,202174900,1596601.00,2279792,0.56,35313889783,21.06,Stock,9/6/23 23:00,1997-06-0,1698820000,3388189000,19984736000,43477953000,0.06
AMGEN INC. (XNAS:AMGN),AMGN,AMGEN INC.,"One Amgen Center Drive, THOUSAND OAKS, CA, 91320-1799 US",25200,Pharmaceuticals,1986,Nasdaq Stock Market,USD,249.01,254.01,-5.00,-1.97%,254.44,254.44,248.38,296.67,211.71,534901200,1988855.00,2401563,0.62,133195747812,17.12,Stock,9/6/23 23:39,1997-06-1,6552000000,7629000000,5563000000,15687000000,-0.03
AMP LIMITED (XASX:AMP),AMP,AMP LIMITED,"AMP share registry, GPO Box 2980, MELBOURNE, VICTORIA, 3001 AU",4300,Investment Banking & Investment Services,1997,Australian Securities Exchange,AUD,1.24,1.25,-0.01,-0.80%,1.24,1.26,1.24,1.40,0.95,2798600000,1937554.00,7872920,1.09,3526237000,18.85,Stock,9/7/23 2:39,1997-06-2,2559000000,6964000000,15595000000,33218000000,0.09
AMPHENOL CORPORATION (XNYS:APH),APH,AMPHENOL CORPORATION,"358 HALL AVE, WALLINGFORD, CT, 06492-3574 US",91000,Electronic Equipment & Parts,1986,New York Stock Exchange,USD,87.96,87.97,-0.01,-0.01%,87.91,88.83,87.61,90.28,65.21,596454000,2003359.00,1854241,1.25,52464093840,28.61,Stock,9/6/23 23:00,1997-06-3,1902300000,1373100000,2631300000,2676100000,0.16
"ANALOG DEVICES, INC. (XNAS:ADI)",ADI,"ANALOG DEVICES, INC.","One Analog Way, WILMINGTON, MA, 01887 US",24450,Semiconductors & Semiconductor Equipment,1965,Nasdaq Stock Market,USD,182.18,181.54,0.64,0.35%,181.54,182.47,178.75,200.10,133.48,498314000,3382501.00,3314891,1.16,90782844520,24.67,Stock,9/6/23 23:59,1997-06-4,2748561000,1977960000,1800462000,2442655000,0.11
ANATARA LIFESCIENCES LTD (XASX:ANR),ANR,ANATARA LIFESCIENCES LTD,"uite 101, 55 Flemington Rd, North Melbourne, MELBOURNE, VICTORIA, 3051 AU",NA,Biotechnology & Medical Research,2010,Australian Securities Exchange,AUD,0.03,0.03,0.00,0.00%,0.03,0.03,0.03,0.06,0.03,119924000,250000.00,86270,1.10,3837570,NA,Stock,9/7/23 2:27,1997-06-5,NA,NA,NA,NA,No data
Aon plc (XNYS:AON),AON,Aon plc,"Metropolitan Building, James Joyce Street, DUBLIN, IRELAND-NA, D01 K0Y8 IE",50000,Insurance,2020,New York Stock Exchange,USD,331.64,329.45,2.19,0.66%,328.75,331.85,327.65,347.37,266.35,202866800,541659.00,713293,0.89,67278745552,25.64,Stock,9/6/23 23:00,1997-06-6,2589000000,690000000,12904000000,20306000000,0.10
APA CORPORATION (XNAS:APA),APA,APA CORPORATION,"2000 Post Oak Blvd, Suite 100, HOUSTON, TX, 77056 US",2273,Oil & Gas,2021,Nasdaq Stock Market,USD,44.65,45.32,-0.67,-1.48%,44.99,45.38,44.36,50.58,30.67,307265400,3448408.00,3893264,3.52,13719400110,9.63,Stock,9/6/23 23:54,1997-06-7,3674000000,245000000,1466000000,2916000000,-0.03
APARTMENT INVESTMENT AND MANAGEMENT COMPANY (XNYS:AIV),AIV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,"4582 SOUTH ULSTER STREET, SUITE 1450, DENVER, CO, 80237 US",62,Residential & Commercial REIT,1994,New York Stock Exchange,USD,7.60,7.61,-0.01,-0.13%,7.61,7.68,7.55,9.30,6.47,147828500,603415.00,755553,1.21,1123496600,22.75,Stock,9/6/23 23:00,1997-06-8,75726000,206460000,4079000,106600000,0.07
APPLE INC. (XFRA:APC),APC,APPLE INC.,"One Apple Park Way, CUPERTINO, CA, 95014 US",164000,"Computers, Phones & Household Electronics",1977,Deutsche Boerse AG,EUR,169.74,176.84,-7.36,-4.16%,176.48,176.48,169.48,435.50,87.20,15634230000,5598.00,51068190,1.27,2965814000000,32.40,Stock,9/6/23 20:05,1997-06-9,NA,NA,NA,NA,No data
APPLE INC. (XNAS:AAPL),AAPL,APPLE INC.,"One Apple Park Way, CUPERTINO, CA, 95014 US",164000,"Computers, Phones & Household Electronics",1977,Nasdaq Stock Market,USD,182.91,189.70,-6.79,-3.58%,188.40,188.85,181.47,198.23,124.17,15634230000,81755816.00,56594555,1.27,2859657009300,31.86,Stock,9/6/23 23:59,1997-06-10,99803000000,5100000000,28184000000,153982000000,0.46
"APPLIED MATERIALS, INC. (XNAS:AMAT)",AMAT,"APPLIED MATERIALS, INC.","3050 Bowers Ave, SANTA CLARA, CA, 95054-3299 US",33000,Semiconductors & Semiconductor Equipment,1987,Nasdaq Stock Market,USD,153.18,153.61,-0.43,-0.28%,153.25,155.26,151.55,155.26,71.12,836533900,3109708.00,5064222,1.60,128140262802,20.25,Stock,9/6/23 23:56,1997-06-11,6525000000,1995000000,6241000000,7379000000,0.58
ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM),ADM,ARCHER-DANIELS-MIDLAND COMPANY.,"77 W. Wacker Dr., CHICAGO, IL, 60601 US",42000,Food & Tobacco,1923,New York Stock Exchange,USD,77.46,78.88,-1.42,-1.80%,78.80,78.86,77.04,98.28,69.92,536101600,3563871.00,2478270,0.83,41526429936,10.53,Stock,9/6/23 23:16,1997-06-12,4340000000,1037000000,4926000000,24191000000,-0.15
ARGOS RESOURCES LTD (XLON:ARG),ARG,ARGOS RESOURCES LTD,"Argos House, H Jones Road, STANLEY, FALKLAND ISLANDS (MALVINAS)-NA, FIQQ 1ZZ FK",6,Oil & Gas,NA,London Stock Exchange,GBp,0.35,0.35,0.00,0.00%,NA,NA,NA,3.00,0.10,235141200,314339.00,NA,1.88,822990,0.00,Stock,6/30/23 0:00,1997-06-13,NA,NA,NA,NA,No data
"ASSURANT, INC. (XNYS:AIZ)",AIZ,"ASSURANT, INC.","260 INTERSTATE NORTH CIRCLE S.E., ATLANTA, GA, 30339 US",13700,Insurance,2003,New York Stock Exchange,USD,137.98,138.32,-0.34,-0.25%,138.32,138.61,137.07,165.84,104.49,53022690,336061.00,324327,0.55,7316070766,21.55,Stock,9/6/23 23:00,1997-06-14,276600000,1536700000,NA,5589000000,0.11
AT&T INC. (XNYS:T),T,AT&T INC.,"208 S. Akard St, DALLAS, TX, 75202 US",160700,Telecommunications Services,1983,New York Stock Exchange,USD,14.61,14.48,0.13,0.90%,14.43,14.75,14.32,21.12,13.43,7149000000,43010140.00,34514892,0.61,104446890000,7.05,Stock,9/6/23 23:59,1997-06-15,-8524000000,2835000000,13947000000,56173000000,-0.21
ATI Inc. (XNYS:ATI),ATI,ATI Inc.,"2021 McKinney Avenue, Suite 1100, DALLAS, TX, 75201 US",6700,Aerospace & Defense,1999,New York Stock Exchange,USD,44.93,45.09,-0.16,-0.35%,45.36,45.78,44.44,47.92,25.39,128584700,563750.00,924224,1.27,5777310571,24.67,Stock,9/6/23 23:09,1997-06-16,130900000,687700000,643300000,963900000,0.51
"ATYR PHARMA, INC. (XNAS:LIFE)",LIFE,"ATYR PHARMA, INC.","10240 Sorrento Valley Road, Suite 300, SAN DIEGO, CA, 92121 US",65,Biotechnology & Medical Research,2005,Nasdaq Stock Market,USD,1.65,1.70,-0.05,-2.94%,1.68,1.72,1.62,3.75,1.56,57046170,345859.00,237451,1.26,94126180,NA,Stock,9/6/23 23:48,1997-06-17,-45338000,9981000,NA,13862000,-0.22
"AUTODESK, INC. (XNAS:ADSK)",ADSK,"AUTODESK, INC.","One Market, Ste. 400., SAN FRANCISCO, CA, 94105 US",13700,Software & IT Services,1994,Nasdaq Stock Market,USD,222.20,219.46,2.74,1.25%,219.08,222.69,218.15,233.69,179.61,213763600,1709732.00,1351283,1.49,47498271920,54.40,Stock,9/6/23 21:45,1997-06-18,823000000,1947000000,961000000,4000000000,0.17
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,"AUTOMATIC DATA PROCESSING, INC.","One Adp Boulvard, ROSELAND, NJ, 07068 US",63000,Software & IT Services,1961,Nasdaq Stock Market,USD,251.05,252.85,-1.80,-0.71%,252.58,252.67,249.90,274.92,201.46,411986900,1311207.00,1293440,0.82,103429311245,30.81,Stock,9/6/23 23:44,1997-06-19,3412000000,2083500000,3009600000,42767600000,0.06
"AUTONATION, INC. (XNYS:AN)",AN,"AUTONATION, INC.","200 SW 1st Ave, FORT LAUDERDALE, FL, 33301 US",23600,Specialty Retailers,1991,New York Stock Exchange,USD,156.45,159.20,-2.75,-1.73%,159.23,160.67,154.44,182.08,94.92,44047630,377301.00,498032,1.16,6891251713,6.60,Stock,9/6/23 23:00,1997-06-20,1377400000,72600000,357000000,3405700000,0.48
"AUTOZONE, INC. (XNYS:AZO)",AZO,"AUTOZONE, INC.","123 S Front St, MEMPHIS, TN, 38103 US",69440,Specialty Retailers,1991,New York Stock Exchange,USD,2568.89,2556.06,12.83,0.50%,2550.21,2578.51,2535.29,2750.00,2050.21,18155970,96472.00,125307,0.66,46640689773,20.22,Stock,9/6/23 23:00,1991-04-02,2429604000,264380000,504886000,8588393000,0.04
"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",AVB,"AVALONBAY COMMUNITIES, INC.","4040 Wilson Boulevard, Ste 1000, ARLINGTON, VA, 22203 US",2947,Residential & Commercial REIT,1995,New York Stock Exchange,USD,179.37,179.78,-0.41,-0.23%,179.60,180.08,177.82,216.11,153.07,142015600,519344.00,548730,0.94,25473338172,20.25,Stock,9/6/23 23:00,1994-03-11,1136775000,613189000,NA,865412000,0.11
AVERY DENNISON CORPORATION (XNYS:AVY),AVY,AVERY DENNISON CORPORATION,"8080 Norton Parkway, MENTOR, OH, 44060 US",36000,Containers & Packaging,1977,New York Stock Exchange,USD,183.45,184.06,-0.61,-0.33%,183.99,185.53,182.92,195.95,157.28,80582840,327408.00,417886,0.97,14782921998,26.53,Stock,9/6/23 23:00,1961-01-01,757100000,167200000,1374400000,2799800000,0.02
"AVON PRODUCTS, INC. (XSGO:AVP)",AVP,"AVON PRODUCTS, INC.","Building 6, Chiswick Park, 566 Chiswick High Road, LONDON, UNITED KINGDOM-NA, W4 5HR GB",23000,Personal & Household Products & Services,1916,Santiago Stock Exchange,USD,4.15,3.84,0.31,8.07%,3.84,4.15,4.02,4.19,2.72,443014300,3500.00,7200,1.79,2480880000,NA,Stock,7/30/19 19:41,No data,NA,NA,NA,NA,No data
BALL CORPORATION (XWBO:BLL),BLL,BALL CORPORATION,"9200 W. 108th Circle, P.O. Box 5000, WESTMINSTER, CO, 80021-2510 US",21000,Containers & Packaging,1922,Wiener Boerse,EUR,51.44,51.32,0.12,0.23%,50.88,51.44,50.32,NA,NA,315058600,191.00,1242990,0.80,17488900000,21.47,Stock,8/16/23 15:50,1973-12-17,878000000,563000000,2022000000,5953000000,-0.20
BANK OF AMERICA CORPORATION (XNYS:BAC),BAC,BANK OF AMERICA CORPORATION,"Bank Of America Corporate Center, 100 N Tryon St, CHARLOTTE, NC, 28255 US",216000,Banking Services,1998,New York Stock Exchange,USD,28.39,28.65,-0.26,-0.91%,28.40,28.56,28.12,38.60,26.32,7946372000,45022587.00,35666035,1.38,225597501080,8.25,Stock,9/6/23 23:59,1979-06-05,27528000000,NA,NA,239764000000,-0.13
BAXTER INTERNATIONAL INC. (XNYS:BAX),BAX,BAXTER INTERNATIONAL INC.,"DF2-1W, ONE BAXTER PKWY, DEERFIELD, IL, 60015 US",60000,Healthcare Equipment & Supplies,1931,New York Stock Exchange,USD,39.64,38.99,0.65,1.67%,38.84,39.80,37.99,60.39,37.35,506404800,7249838.00,3439646,0.62,20073886272,28.87,Stock,9/6/23 23:51,1961-05-15,-2433000000,1718000000,2752000000,4745000000,-0.24
BEAM GLOBAL (XNAS:BEEM),BEEM,BEAM GLOBAL,"5660 Eastgate Dr, SAN DIEGO, CA, 92121 US",101,Renewable Energy,2007,Nasdaq Stock Market,USD,8.20,8.80,-0.60,-6.82%,8.78,8.78,8.16,21.58,7.72,13935660,131037.00,191290,1.32,114272411,NA,Stock,9/6/23 23:26,2010-04-30,-19682000,NA,4429000,13172000,-0.50
"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",BDX,"BECTON, DICKINSON AND COMPANY","One Becton Drive, FRANKLIN LAKES, NJ, 07417-1880 US",77000,Healthcare Equipment & Supplies,1906,New York Stock Exchange,USD,266.64,272.88,-6.24,-2.29%,271.88,272.14,261.10,287.32,215.90,290108600,2460599.00,1217045,0.58,77354557104,49.43,Stock,9/6/23 23:00,1963-09-25,1779000000,1006000000,2191000000,7811000000,0.07
BED BATH & BEYOND INC. (OTCM:BBBYQ),BBBYQ,BED BATH & BEYOND INC.,"650 Liberty Ave, UNION, NJ, 07083 US",20000,Holding Companies,1971,OTC Markets,USD,0.23,0.24,-0.01,-5.39%,0.24,0.25,0.22,9.38,0.05,739056800,5054646.00,222535341,1.51,168504950,NA,Stock,9/6/23 20:00,No data,NA,NA,NA,NA,No data
"BERKSHIRE HATHAWAY INC., (XNYS:BRK.B)",BRK.B,"BERKSHIRE HATHAWAY INC.,","3555 Farnam St, OMAHA, NE, 68131 US",383000,Consumer Goods Conglomerates,1998,New York Stock Exchange,USD,361.67,360.47,1.20,0.33%,360.02,362.80,359.26,366.47,259.85,1447370,2656676.00,2804919,0.87,786005600000,9.12,Stock,9/6/23 23:59,1980-03-17,-22819000000,35811000000,17876000000,81413000000,0.17
"Best Buy Co., Inc. (XNYS:BBY)",BBY,"Best Buy Co., Inc.","7601 Penn Ave S, RICHFIELD, MN, 55423 US",90000,Specialty Retailers,1966,New York Stock Exchange,USD,73.74,73.95,-0.21,-0.28%,73.51,74.21,72.83,93.32,60.79,217638200,2452307.00,2418652,1.55,16048640867,12.72,Stock,9/6/23 23:00,1987-07-20,1419000000,1874000000,1141000000,8979000000,-0.08
"BIG LOTS, INC. (XNYS:BIG)",BIG,"BIG LOTS, INC.","4900 E Dublin Granville Rd, COLUMBUS, OH, 43081-7651 US",10200,Diversified Retail,2001,New York Stock Exchange,USD,6.10,5.99,0.11,1.84%,5.94,6.23,5.93,24.09,4.78,29177480,1519412.00,1977529,2.27,177982628,NA,Stock,9/6/23 23:35,1985-06-20,-210708000,44730000,NA,919854000,-0.59
BIOGEN INC. (XNAS:BIIB),BIIB,BIOGEN INC.,"225 Binney Street, CAMBRIDGE, MA, 02142 US",8725,Pharmaceuticals,1997,Nasdaq Stock Market,USD,263.72,266.29,-2.57,-0.97%,266.47,266.47,261.50,319.76,194.42,144823300,944699.00,792391,0.13,38192800676,14.50,Stock,9/6/23 23:39,1991-09-17,3046900000,3419300000,2136400000,3272800000,-0.04
BLACK HILLS CORPORATION (XFRA:BHI),BHI,BLACK HILLS CORPORATION,"PO BOX 1400, 625 9TH STREET, RAPID CITY, SD, 57709 US",2982,Multiline Utilities,2000,Deutsche Boerse AG,EUR,49.80,51.00,-1.20,-2.35%,49.80,49.80,49.80,79.14,41.32,67110950,100.00,365030,0.59,3599160000,14.82,Stock,9/6/23 20:05,No data,NA,NA,NA,NA,No data
"BLACKROCK, INC. (XNYS:BLK)",BLK,"BLACKROCK, INC.","50 Hudson Yards, NEW YORK, NY, 10001 US",19300,Investment Banking & Investment Services,2006,New York Stock Exchange,USD,694.18,695.93,-1.75,-0.25%,692.96,699.32,688.70,785.65,503.12,149302600,426749.00,466572,1.30,103904200000,20.32,Stock,9/6/23 23:59,1999-10-01,5178000000,7416000000,3264000000,5401000000,-0.02
BOOMBIT JOINT STOCK COMPANY (XWAR:BBT),BBT,BOOMBIT JOINT STOCK COMPANY,"Zacna 2, GDANSK, WOJ. POMORSKIE, 80-283 PL",NA,Leisure Products,2018,Warsaw Stock Exchange,PLN,12.10,12.40,-0.30,-2.42%,12.20,12.30,12.10,17.40,9.40,13540000,1887.00,1410,-0.31,167896000,12.58,Stock,9/6/23 14:47,No data,NA,NA,NA,NA,No data
BORGWARNER INC. (XNYS:BWA),BWA,BORGWARNER INC.,"3850 Hamlin Rd, AUBURN HILLS, MI, 48326 US",52700,Automobiles & Auto Parts,1987,New York Stock Exchange,USD,40.50,40.55,-0.05,-0.12%,40.53,41.45,40.34,47.05,27.39,235063000,1495121.00,2049809,1.45,9520051500,10.03,Stock,9/6/23 23:00,1993-08-13,944000000,NA,2821000000,4236000000,0.15
"BOSTON PROPERTIES, INC. (XNYS:BXP)",BXP,"BOSTON PROPERTIES, INC.","800 Boylston St Ste 1900, BOSTON, MA, 02199-8101 US",780,Residential & Commercial REIT,1997,New York Stock Exchange,USD,66.11,66.90,-0.79,-1.18%,66.42,67.14,65.10,87.61,46.18,156864500,1609119.00,1399388,1.15,10494240000,15.83,Stock,9/6/23 23:00,1997-06-18,848947000,690333000,94200000,896648000,-0.01
BOSTON SCIENTIFIC CORPORATION (XNYS:BSX),BSX,BOSTON SCIENTIFIC CORPORATION,"300 Boston Scientific Way, MARLBOROUGH, MA, 01752-1234 US",45000,Healthcare Equipment & Supplies,1979,New York Stock Exchange,USD,53.86,53.30,0.56,1.05%,53.12,54.20,52.82,54.99,37.75,1464223000,7705042.00,7596395,0.78,78863050780,89.71,Stock,9/6/23 23:00,1992-05-19,698000000,928000000,1970000000,3803000000,0.15
